nom	adaptat	lat	lon	email	telf	fax	addr	url
Bar Restaurant Mesón el Paco	0	41.4046276417	2.18356225		Work: +34 932658925		C Consell de Cent 575, 08013, la Sagrada Família, Eixample, BARCELONA	
Restaurant La Llimona	0	41.3879182806	2.13631577778		Work: +34 934303562		Constança 6, 08029, les Corts, Les Corts, BARCELONA	
Cafeteria Restaurant El Pibe	0	41.3855639639	2.17521883333		Work: +34 933181078		C Copons 2, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Bar Orlyt	0	41.3906371639	2.15133508333		Work: +34 934103026		Còrsega 203, 08036, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant Japonès Koyuki	1	41.3929673444	2.15480711111		Work: +34 932378490		C Còrsega 242, 08036, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant Cafeteria El Vell Camembert	0	41.3943466056	2.15663863889		Work: +34 932173483		C Còrsega 272, 08008, la Dreta de l'Eixample, Eixample, BARCELONA	
Restaurant Cafeteria Justinianus	0	41.3955640278	2.15824438889		Work: +34 932375731		C Còrsega 300, 08008, la Dreta de l'Eixample, Eixample, BARCELONA	http://www.justinianus.es
Restaurant Japonès Yu Ja	0	41.3979554944	2.16103652778		Work: +34 932375310		C Còrsega 343, 08037, la Vila de Gràcia, Gràcia, BARCELONA	
Restaurant Xinès Zhao Yang	0	41.3997027972	2.16334908333		Work: +34 934592962	Fax: +34 934592962	C Còrsega 391, 08037, la Vila de Gràcia, Gràcia, BARCELONA	
Crem Café	0	41.4054208028	2.17133027778		Work: +34 934556850		Còrsega 0518, 08025, la Sagrada Família, Eixample, BARCELONA	
Bar Restaurant Los Jardines	0	41.3898440556	2.14052188889		Work: +34 934300084		Trav Corts 350, 08029, les Corts, Les Corts, BARCELONA	
Bar Restaurant Crespo	0	41.4087042889	2.20308447222		Work: +34 933071037		C Cristóbal de Moura 23, 08019, Provençals del Poblenou, Sant Martí, BARCELONA	
Bar Restaurant Copa d'Or	0	41.3785017222	2.11943975		Work: +34 933339181		Aristides Maillol 13, 08028, la Maternitat i Sant Ramon, Les Corts, BARCELONA	
Bar Restaurant La Jarra	0	41.3785017222	2.11943975		Work: +34 933332220		Aristides Maillol 19, 08028, la Maternitat i Sant Ramon, Les Corts, BARCELONA	
Restaurant El Pozairon	1	41.380204575	2.15331386111		Work: +34 933251762		C Diputació 55 bxs, 08015, la Nova Esquerra de l'Eixample, Eixample, BARCELONA	
Mediterrani Restaurant	0	41.3810510472	2.15444033333		Work: +34 933250282		C Diputació 73, 08015, la Nova Esquerra de l'Eixample, Eixample, BARCELONA	
Bar Restaurant El Bierzo a Tope	1	41.3842008639	2.158627		Work: +34 934537045		C Diputació 159, 08011, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant Racó d'en Cesc	1	41.3861868417	2.16127058333		Work: +34 934532352	Fax: +34 934532352	C Diputació 201, 08011, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Bar Restaurant Taormina	0	41.3899297333	2.16660280556		Work: +34 933012441		C Diputació 256, 08007, la Dreta de l'Eixample, Eixample, BARCELONA	
Restaurant Portolés	0	41.3969305778	2.17556966667		Work: +34 932453110		C Diputació 375, 08013, la Dreta de l'Eixample, Eixample, BARCELONA	
Restaurant Gorría	0	41.3987383361	2.17798847222	Work: info@restaurantegorria.com	Work: +34 932327857	Fax: +34 932327857	C Diputació 421, 08013, el Fort Pienc, Eixample, BARCELONA	http://www.restaurantegorria.com
Restaurant El Asador de Aranda *Av Tibidabo	0	41.4134621806	2.13446205556	Work: asador@asadoraranda.com	Work: +34 934170115	Fax: +34 932122482	Av Tibidabo 31, 08022, Sant Gervasi - la Bonanova, Sarrià-Sant Gervasi, BARCELONA	http://www.asadoraranda.com
Restaurant  Bar Musical Danzatoria	0	41.4149062667	2.12919736111	Work: danzatoria@group-azo.com	Work: +34 93 211 6261	Fax: +34 93 418 4360	Av Tibidabo 61, 08035, Sant Gervasi - la Bonanova, Sarrià-Sant Gervasi, BARCELONA	http://www.danzatoria-barcelona.com
Restaurant La Farigola	0	41.3895869389	2.12292425	Work: farigola@telefonica.net	Work: +34 932048704		Doctor August Pi i Sunyer 12, 08034, Pedralbes, Les Corts, BARCELONA	
Restaurant  Quilez	0	41.3900993	2.14194072222		Work: +34 933213010		Pl Doctor Ignasi Barraquer 5, 08029, les Corts, Les Corts, BARCELONA	
Ristorante Le Quattro Stagione	0	41.3957681833	2.13196483333	Work: restaurante@4stagione.com	Work: +34 932052279	Fax: +34 932057865	C Doctor Roux 37, 08017, les Tres Torres, Sarrià-Sant Gervasi, BARCELONA	
Restaurant El Taco	0	41.4057658556	2.18355191667		Work: +34 932465220		Dos de Maig 217, 08013, la Sagrada Família, Eixample, BARCELONA	
Bar Queimada	0	41.4091770361	2.17941927778		Work: +34 933481960		Dos de Maig 0270, 08025, el Camp de l'Arpa del Clot, Sant Martí, BARCELONA	
Restaurant Celeste	0	41.4114161972	2.17609166667		Work: +34 934357074		C Dos de Maig 317, 08025, la Sagrada Família, Eixample, BARCELONA	
Restaurant Els Hostalets	0	41.4024062	2.17988966667		Work: +34 932451188	Fax: +34 932453355	C Enamorats 11*13, 08013, la Sagrada Família, Eixample, BARCELONA	
Bar Restaurant Torrente	0	41.4064763806	2.16007891667		Work: +34 932132065		C Encarnació 43, 08024, la Vila de Gràcia, Gràcia, BARCELONA	
Restaurant El Trinquet	0	41.3979149056	2.20050822222		Work: +34 932250005		C Ramon Turró 180 Bxs, 08005, el Poblenou, Sant Martí, BARCELONA	
Restaurant Ponsa	1	41.3921049222	2.15650280556		Work: +34 934531037	Fax: +34 934531037	C Enric Granados 89, 08008, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Bar Restaurant Casa Jaime	0	41.3928378444	2.15552425		Work: +34 932181055		C Enric Granados 107, 08008, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Bar Restaurant Gallardo	0	41.3774128556	2.15334363889		Work: +34 934260495		C Entença 45, 08015, Sant Antoni, Eixample, BARCELONA	
Restaurant Cerveseria Saudade	0	41.3786486694	2.15208130556		Work: +34 933259272		C Entença 64, 08015, la Nova Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant Xinès Peonia	0	41.3825540778	2.14691091667		Work: +34 934199245		C Entença 146, 08029, la Nova Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant La Torreta	0	41.4100693	2.15886805556		Work: +34 932845111		C Escorial 158, 08024, el Camp d'en Grassot i Gràcia Nova, Gràcia, BARCELONA	
Restaurant Los Caracoles	0	41.3796802306	2.17646402778	Work: caracoles@versin.com	Work: +34 933023185	Fax: +34 933020743	C Escudellers 14, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	http://www.versin.com/caracoles
Restaurant El Trapio	0	41.4046386083	2.1277275		Work: +34 932115817	Fax: +34 934171037	C Esperança 25, 08017, Sant Gervasi - la Bonanova, Sarrià-Sant Gervasi, BARCELONA	http://www.restauranteltrapio.com
Restaurant El Central	0	41.3870255861	2.17254786111	Work: antonioelcentral@hotmail.com	Work: +34 933026954		C Estruc 24, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Café-Bar	0	41.3713988222	2.16073608333		Work: +34 93 329 2331		Pg Exposició 85, 08004, el Poble Sec, Sants-Montjuïc, BARCELONA	
Bar Restaurant Rodri	0	41.4302525417	2.17053538889		Work: +34 933583533		Pg Fabra i Puig 279, 08031, Vilapicina i la Torre Llobeta, Nou Barris, BARCELONA	
Restaurant El Patio Andaluz *Fastenrath	0	41.4214448167	2.14329536111		Work: +34 932112071		C Fastenrath 14, 08035, la Teixonera, Horta-Guinardó, BARCELONA	
Bar Restaurant Kentucky Fried Chicken *Ferran	0	41.3803555306	2.17430461111		Work: +34 934125154		C Ferran 2, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Restaurant Don Fernando	1	41.380969275	2.17507741667		Work: +34 933023330		C Ferran 16, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Bar Restaurant Compostela	0	41.3814455778	2.17567305556		Work: +34 933182317		C Ferran 30, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	http://www.compostelarestaurant.com
Bar Restaurant Canari	0	41.4060332056	2.14970036111		Work: +34 932174682		Pl Lesseps 32, 08023, el Putxet i el Farró, Sarrià-Sant Gervasi, BARCELONA	
Restaurant Ca l'Isidre	1	41.3759397694	2.16796486111	Work: info@cal'isidre.com	Work: +34 934411139	Fax: +34 934425271	C Flors 12, 08001, el Raval, Ciutat Vella, BARCELONA	http://www.cal'isidre.com
Restaurant Cruixent	0	41.3756853639	2.15448758333		Work: +34 933256002		C Floridablanca 3, 08015, Sant Antoni, Eixample, BARCELONA	http://www.cruixent.net
Bar Restaurant Cafeteria Caféparís	1	41.379583325	2.16014205556	Work: delfinvela@hotmail.com	Work: +34 933252486		C Floridablanca 102, 08015, Sant Antoni, Eixample, BARCELONA	http://www.cafeparis.org
Restaurant Maur Pasta	0	41.3808220694	2.16141672222		Work: +34 933257039		C Floridablanca 119, 08011, Sant Antoni, Eixample, BARCELONA	
Restaurant Telirium	0	41.39023415	2.13153766667		Work: +34 932064530	Fax: +34 932054617	Av Diagonal 656, 08034, les Corts, Les Corts, BARCELONA	http://www.grupcacheiro.com
Bar Restaurant Kentucky Fried Chicken *Fontanella	0	41.3879837444	2.17250383333		Work: +34 933173685		C Fontanella 16, 08010, el Barri Gòtic, Ciutat Vella, BARCELONA	http://www.kenchic.net
Restaurant Estel de Gràcia	0	41.398994125	2.1592275	Work: esteldegracia@hotmail.com	Work: +34 933684429	Fax: +34 933684754	C Francisco Giner 23, 08012, la Vila de Gràcia, Gràcia, BARCELONA	http://www.esteldegracia.com
Bar Restaurant Esdiba	0	41.4337072556	2.20212669444		Work: +34 933052104		C Fra Juníper Serra 77, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
Restaurant Piolindo	0	41.3864312694	2.17747258333		Work: +34 933190553		C Freixures 6, 08003, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA	
Restaurant El Mirador de la Venta	0	41.4162737611	2.13139852778	Work: laventa@restaurantlaventa.com	Work: +34 932126455	Fax: +34 932125144	Pl Doctor Andreu 1, 08035, Sant Gervasi - la Bonanova, Sarrià-Sant Gervasi, BARCELONA	http://www.restaurantlaventa.com
Pizzeria Restaurant Ciutat Comtal	0	41.3761881667	2.13580808333		Work: +34 934110413	Fax: +34 934903653	C Galileu 1, 08028, Sants, Sants-Montjuïc, BARCELONA	http://www.pizzeriaciudadcondal.com
Restaurant El Mesonet	0	41.3761881667	2.13580808333		Work: +34 933392970	Fax: +34 933392970	C Galileu 1 Baix, 08028, Sants, Sants-Montjuïc, BARCELONA	
Restaurant Can Manel	0	41.3780563528	2.13494622222		Work: +34 933391047		C Galileu 85, 08028, Sants, Sants-Montjuïc, BARCELONA	
Bar Restaurant Jesús	0	41.3828815944	2.13278841667				Galileu 256, 08028, les Corts, Les Corts, BARCELONA	
El Reco de les Corts	0	41.3855474083	2.13153536111		Work: +34 934305187		Galileu 316, 08028, les Corts, Les Corts, BARCELONA	
Restaurant Via Veneto	0	41.3924572806	2.13904997222		Work: +34 932007244	Fax: +34 932016095	C Ganduxer 10, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	http://www.viavenetorestaurant.com
Restaurant Indret de Semon	0	41.3948110583	2.13753075		Work: +34 932016931	Fax: +34 932010292	C Ganduxer 31, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Bar Laie	0	41.37653685	2.17210308333		Work: +34 933298502		Av Drassanes 0027, 08001, el Raval, Ciutat Vella, BARCELONA	
Bar Restaurant Kentucky Fried Chicken *Av Gaudí	0	41.404908675	2.174584		Work: +34 934330717		Av Gaudí 2, 08025, la Sagrada Família, Eixample, BARCELONA	
Restaurant Pizzeria La Piazzenza	0	41.4054613083	2.17457705556		Work: +34 934509952		Av Gaudí 16, 08025, la Sagrada Família, Eixample, BARCELONA	
Restaurant Cafeteria Bon Punt	0	41.4074263	2.17422888889		Work: +34 934552439		Av Gaudí 45, 08025, la Sagrada Família, Eixample, BARCELONA	
Restaurant Braseria Cal Ramon	0	41.4106366583	2.17450508333		Work: +34 934364127		Av Gaudí 74, 08025, la Sagrada Família, Eixample, BARCELONA	
Restaurant Vanessa	0	41.4106783639	2.17418222222		Work: +34 934359173		Av Gaudí 85, 08025, la Sagrada Família, Eixample, BARCELONA	
Restaurant Can Jaume	0	41.3935474222	2.14347891667		Work: +34 932007512		Av Pau Casals 10, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Bar Restaurant Boga-Boga	1	41.38008125	2.17975358333		Work: +34 933150104		C Ample 20, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Bar Restaurant Mesón a Roda	0	41.3807076444	2.18023733333		Work: +34 933152679		C Ample 34, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	http://www.pulperiaroda.com
Restaurant Chardonnay	0	41.3810307972	2.180461		Work: +34 933152260		C Ample 46 bxs, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Bar La Repanocha	0	41.397598825	2.16499958333		Work: +34 934585285		C Bruc 139 bxs, 08037, la Dreta de l'Eixample, Eixample, BARCELONA	
Restaurant La Dama	0	41.3946281639	2.15296569444		Work: +34 932020686	Fax: +34 932007299	Av Diagonal 423 Principal 02, 08036, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	http://www.ladama.restaurant.com
Bar Diagonal 460	0	41.3962036528	2.15722847222		Work: +34 934161745		Av Diagonal 460, 08006, la Vila de Gràcia, Gràcia, BARCELONA	
Càtering - Restaurant Mercès	0	41.3905822139	2.13788563889	Work: info@merces.es	Work: +34 934397375	Fax: +34 934397006	Av Diagonal 539*541, 08029, les Corts, Les Corts, BARCELONA	http://www.merces.es
Restaurant Bugui	0	41.3860782944	2.1256705		Work: +34 933305117	Fax: +34 933395832	Av Diagonal 633, 08028, la Maternitat i Sant Ramon, Les Corts, BARCELONA	
Cervecería Berlín	0	41.3860782944	2.1256705		Work: +34 933309334		Av Diagonal 637, 08028, la Maternitat i Sant Ramon, Les Corts, BARCELONA	
Café del Centre	0	41.3946377028	2.17117986111	Work: altantu@yahoo.es	Work: +34 934881101		Girona 69, 08009, la Dreta de l'Eixample, Eixample, BARCELONA	
Restaurant Agut	0	41.3809342056	2.17991636111		Work: +34 933151709		C Gignàs 16, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Restaurant Cheriff	0	41.381696825	2.188531		Work: +34 933100760		C Ginebra 15, 08003, la Barceloneta, Ciutat Vella, BARCELONA	
Restaurant La Vaca Paca	0	41.3903818944	2.16658319444		Work: +34 934881282		Pg Gràcia 21 bxs, 08007, la Dreta de l'Eixample, Eixample, BARCELONA	http://www.lavacapaca.com
Restaurant Cafè del Bulevard	1	41.3925595028	2.16388977778		Work: +34 932157568		Pg Gràcia 55, 08007, la Dreta de l'Eixample, Eixample, BARCELONA	http://www.bulevardrosa.com
Restaurant Racó de la Vila	0	41.3974567167	2.199047	Work: fernando@racodelavila.com	Work: +34 933091025	Fax: +34 933091471	C Ciutat de Granada 33, 08005, el Poblenou, Sant Martí, BARCELONA	http://www.racodelavila.com
Restaurant Il Giardinetto *Granada Penedès	0	41.3970448333	2.15282391667	Work: giardinetto@ilgiardinetto.es	Work: +34 932187536	Fax: +34 934159856	C Granada del Penedès 22, 08006, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	http://www.ilgiardinetto.es
Bar Restaurant Chezguy	0	41.3964517167	2.15197702778		Work: +34 932185687		C Granada del Penedès 29, 08006, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Restaurant Els Peps	0	41.3840228944	2.18023869444		Work: +34 933100709		C Grunyí 5, 08003, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA	
Restaurant Taverna el Racó de Sants	1	41.3750388972	2.13901544444		Work: +34 934216422		C Guadiana 6, 08014, Sants, Sants-Montjuïc, BARCELONA	
Restaurant Telepizza *Rbla Guipuscoa	0	41.4165291861	2.19697355556		Work: +34 932662772		Rbla Guipúscoa 55, 08020, Sant Martí de Provençals, Sant Martí, BARCELONA	http://www.telepizza.es
Bar Quimet	0	41.4307211444	2.16071563889		Work: +34 933581916		Pl Eivissa 10, 08032, Horta, Horta-Guinardó, BARCELONA	
Restaurant El Cocinero	0	41.4108754583	2.17950886111		Work: +34 934364623		C Independència 340, 08026, el Camp de l'Arpa del Clot, Sant Martí, BARCELONA	
Bar Restaurant 202	0	41.411364325	2.17699744444		Work: +34 933481739		C Indústria 202, 08026, el Camp de l'Arpa del Clot, Sant Martí, BARCELONA	
Restaurant Infanta Carlota	0	41.3815700972	2.14166444444		Work: +34 934191694	Fax: +34 934301804	Av Josep Tarradellas 5*7, 08029, Sants, Sants-Montjuïc, BARCELONA	
Bar Joan	0	41.3875662889	2.14324494444		Work: +34 934303646		Av Josep Tarradellas 0084, 08029, la Nova Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant Yashima	0	41.3910030528	2.14346077778		Work: +34 934190697	Fax: +34 934108025	Av Josep Tarradellas 145, 08029, les Corts, Les Corts, BARCELONA	
Restaurant La Botiga *Av. Josep Tarradellas	1	41.3917044583	2.14372827778		Work: +34 934102704	Fax: +34 933223989	Av Josep Tarradellas 155, 08029, les Corts, Les Corts, BARCELONA	http://www.angrup.com
Restaurant La Balsa	0	41.4108437944	2.13034711111		Work: +34 932115048	Fax: +34 934184606	C Infanta Isabel 4, 08022, Sant Gervasi - la Bonanova, Sarrià-Sant Gervasi, BARCELONA	
Restaurant St. Rémy	0	41.4039126361	2.12603758333		Work: +34 934187504	Fax: +34 934340434	C Iradier 12, 08017, Sant Gervasi - la Bonanova, Sarrià-Sant Gervasi, BARCELONA	http://www.stremyrestaurant.com
Restaurant Pescadito Alegre	0	41.3770161722	2.12537291667		Work: +34 934497008		C Jaume Roig 43, 08028, Sants - Badal, Sants-Montjuïc, BARCELONA	
Restaurant Rovell d'Ou	0	41.3871758917	2.11295622222		Work: +34 932057871		Jordi Girona 6, 08034, Pedralbes, Les Corts, BARCELONA	
Restaurant Zure Etxea	0	41.3872521222	2.11326622222	Work: zureetxea@telefonica.net	Work: +34 932038390		Jordi Girona 10, 08034, Pedralbes, Les Corts, BARCELONA	
Bar Restaurant La Fuente	0	41.3711787778	2.14444883333		Work: +34 934254727		G.V. Corts Catalanes 272, 08004, la Font de la Guatlla, Sants-Montjuïc, BARCELONA	
Restaurant Braseria Myaro	1	41.3722390139	2.14497833333		Work: +34 933259611		G.V. Corts Catalanes 295, 08014, Hostafrancs, Sants-Montjuïc, BARCELONA	
Restaurant Pizzeria Candela	0	41.3729373667	2.14590533333		Work: +34 934246152		G.V. Corts Catalanes 325, 08014, Hostafrancs, Sants-Montjuïc, BARCELONA	
Restaurant Plató	0	41.3767127722	2.15184786111		Work: +34 933252548		G.V. Corts Catalanes 408, 08015, Sant Antoni, Eixample, BARCELONA	
Restaurant Pizzeria Piccata	0	41.3804011694	2.15583222222		Work: +34 934245314		G.V. Corts Catalanes 489 bxs, 08015, la Nova Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant Ordesa	0	41.381769025	2.15852880556		Work: +34 934531189		G.V. Corts Catalanes 522, 08011, Sant Antoni, Eixample, BARCELONA	
Bar Solo Marienbad	0	41.3855032028	2.16262666667		Work: +34 934545333		G.V. Corts Catalanes 583, 08011, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Berriketa Euskal Taberna	0	41.3865733944	2.16492		Work: +34 933017928		G.V. Corts Catalanes 596, 08007, la Dreta de l'Eixample, Eixample, BARCELONA	
Restaurant Cerveseria Salsitxeria Otto Sylt *Gran Via	0	41.3880097889	2.16683394444	Work: ang@angrup.com	Work: +34 934125168	Fax: +34 934125168	G.V. Corts Catalanes 622 bxs, 08007, la Dreta de l'Eixample, Eixample, BARCELONA	http://www.angrup.com
Restaurant El Chato	0	41.3971726361	2.17815172222	Work: eva@restaurantwindsor.com	Work: +34 932452169		G.V. Corts Catalanes 697 bxs, 08013, el Fort Pienc, Eixample, BARCELONA	http://www.bcnrestaurantes.com/barcelona.asp?restaurante=el-chato
Bar Restaurant La Sirena	0	41.3969574472	2.17874411111		Work: +34 932453365		G.V. Corts Catalanes 734, 08013, el Fort Pienc, Eixample, BARCELONA	
Restaurant Pizza Bull	0	41.4100877944	2.19666611111		Work: +34 932660227		G.V. Corts Catalanes 972, 08018, Provençals del Poblenou, Sant Martí, BARCELONA	
Bar Restaurant Xaica-1	1	41.3853638722	2.16776294444		Work: +34 933178543	Fax: +34 933181697	C Jovellanos 7, 08001, el Raval, Ciutat Vella, BARCELONA	
Restaurant Can Barça	0	41.3866175528	2.12951538889		Work: +34 933223723		Joan Güell 230, 08028, les Corts, Les Corts, BARCELONA	
Restaurant Mistos	1	41.4306245139	2.14766372222		Work: +34 934282137		C Juan de Mena 1, 08035, la Vall d'Hebron, Horta-Guinardó, BARCELONA	
Rapsodia Club	0	41.3959799639	2.13959		Work: +34 932655761		C Johann Sebastian Bach 20, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Bar Restaurant Braseria Sibelius	0	41.4103711361	2.18580636111		Work: +34 932452195		C Sibelius 5, 08026, el Camp de l'Arpa del Clot, Sant Martí, BARCELONA	
Bar. restaurant Conde Drácula	0	41.4409734722	2.17719805556		Work: +34 933508289		Via Júlia 68, 08016, la Prosperitat, Nou Barris, BARCELONA	
Restaurant La Rosca	0	41.3861688056	2.17484322222		Work: +34 933025173		C Julià Portet 6, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Restaurant Octubre	0	41.3975612	2.15347463889		Work: +34 932182518		C Julián Romea 18, 08006, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Restaurant Brasserie Flo	1	41.3882296111	2.17416125	Work: reservas-flo@grupglo.es	Work: +34 933193102		C Jonqueres 10, 08003, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA	
Restaurant Xinès Cantón	0	41.3988605111	2.14947088889		Work: +34 934150783	Fax: +34 934150783	C Laforja 23, 08006, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Bar Restaurant Lauria II	0	41.3899441694	2.17324775		Work: +34 933018675	Fax: +34 933018675	C Roger de Llúria 2, 08010, la Dreta de l'Eixample, Eixample, BARCELONA	
Restaurant Xarcuteria Casa Alfonso	0	41.3900625361	2.17308947222	Work: info@casaalfonso.com	Work: +34 933019783	Fax: +34 934120460	C Roger de Llúria 6, 08010, la Dreta de l'Eixample, Eixample, BARCELONA	http://www.casaalfonso.com
Restaurant Platero	0	41.3822131861	2.18123044444		Work: +34 933103011	Fax: +34 932680104	Via Laietana 4*6, 08003, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA	
Restaurant Camí de la Fusta	0	41.3829934694	2.18019697222		Work: +34 933102934		Via Laietana 12, 08003, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA	
Restaurant Pizzeria La Perla Nera	0	41.3851696472	2.17731886111		Work: +34 933105646		Via Laietana 32, 08003, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA	
Restaurant La Habana	0	41.381965775	2.16502188889		Work: +34 933022106		C Lleó 1, 08001, Pedralbes, Ciutat Vella, BARCELONA	
Restaurant Sol i Lluna	0	41.4113769722	2.13739141667		Work: +34 934185824		C Lleó XIII 0011, 08022, Sant Gervasi - la Bonanova, Sarrià-Sant Gervasi, BARCELONA	
Restaurant La Barbacoa de l'Eixample	0	41.4072010917	2.17282652778		Work: +34 933476636		C Lepant 323, 08025, la Sagrada Família, Eixample, BARCELONA	
Restaurant Rias de Galicia	1	41.3742431417	2.15457605556	Work: info@riasdegalicia.com	Work: +34 934248152	Fax: +34 934261307	C Lleida 7, 08004, el Poble Sec, Sants-Montjuïc, BARCELONA	http://www.riasdegalicia.com
Restaurant La Parra	0	41.3750992861	2.14090469444		Work: +34 933325134		C Joanot Martorell 3, 08014, Hostafrancs, Sants-Montjuïc, BARCELONA	
Bar Conesa *Creu Coberta	0	41.3753382444	2.1441185	Work: clients@conesaentrepans.com	Work: +34 934315541		C Creu Coberta 80, 08014, Hostafrancs, Sants-Montjuïc, BARCELONA	http://www.conesaentrepans.com
Bar Cafeteria Mesón del Café	0	41.383257075	2.17750758333		Work: +34 933150754		Llibreteria 0016, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Restaurant La Nao	0	41.3896772417	2.14554652778		Work: +34 934309186		C Londres 35, 08029, la Nova Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant Il Comodoro	0	41.3909326306	2.14757316667	Work: commox@yahoo.es	Work: +34 933212500	Fax: +34 933212500	C Londres 54 bxs, 08036, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant Londres	0	41.3927301167	2.14959222222		Work: +34 933218716		C Londres 77, 08036, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Bar Restaurant Dialo	0	41.3917486556	2.14277286111		Work: +34 934103079		Loreto 52, 08029, les Corts, Les Corts, BARCELONA	
Restaurant Ca La Teresa	0	41.4003378444	2.19789808333		Work: +34 933091484		C Roc Boronat 70, 08005, el Poblenou, Sant Martí, BARCELONA	
Restaurant Japonès Bun Sishi	0	41.3932581167	2.149771		Work: +34 934305122	Fax: +34 934193115	Ptge Lluís Pellicer 20, 08036, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	http://www.bunsichi.com
Restaurant Cafè de l'Acadèmia	0	41.3829081917	2.17856563889		Work: +34 933198253	Fax: +34 932684965	C Lledó 1, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Restaurant Ariadna	1	41.3960561806	2.14479102778		Work: +34 932099952		C Laforja 83, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Restaurant Da Paolo	0	41.3780945333	2.12645825	Work: dapaolo@dapaolo.es	Work: +34 934904891		Av Madrid 63*73, 08028, la Maternitat i Sant Ramon, Les Corts, BARCELONA	http://www.dapaolo.es
Restaurant Juan	0	41.4496225694	2.19102494444		Work: +34 933453013		C Madriguera 47, 08033, la Trinitat Vella, Sant Andreu, BARCELONA	
Dole Café	0	41.3934683833	2.12540366667		Work: +34 932041120		C Manuel de Falla 16-18, 08034, Sarrià, Sarrià-Sant Gervasi, BARCELONA	
Restaurant Gota d'Or	0	41.39391675	2.12552702778		Work: +34 932031001	Fax: +34 932032237	C Manuel de Falla 17, 08034, Sarrià, Sarrià-Sant Gervasi, BARCELONA	
Restaurant El Loro Blanco	0	41.3934683833	2.12540366667		Work: +34 932046323		C Manuel de Falla 24, 08034, Sarrià, Sarrià-Sant Gervasi, BARCELONA	
Restaurant Taita	0	41.3930928417	2.14197519444		Work: +34 934140352		C Mestre Nicolau 9 bxs, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Restaurant Cafè de Paris	0	41.3942651722	2.14333197222		Work: +34 932001914		C Mestre Nicolau 16, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Restaurant La Tomaquera	0	41.3723101556	2.16301677778				C Margarit 58, 08004, el Poble Sec, Sants-Montjuïc, BARCELONA	
Restaurant Can Pescallunes	0	41.3864430306	2.17450288889		Work: +34 933185483		C Magdalenes 23, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Restaurant JJ	0	41.3789575861	2.14309225		Work: +34 934261684	Fax: +34 934268933	C Mallorca 18*20, 08014, Hostafrancs, Sants-Montjuïc, BARCELONA	
